Date : 2025-10-01 12:48:48
Directory : c:\Users\ashis\autoform
Total : 95 files,  13185 codes, 121 comments, 2344 blanks, all 15650 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\ashis\autoform\lib\actions\loginuser.ts                          | TypeScript         |         32 |          0 |          5 |         37 |
| c:\Users\ashis\autoform\lib\actions\persona.ts                            | TypeScript         |        115 |          0 |         10 |        125 |
| c:\Users\ashis\autoform\lib\actions\resume-parse.ts                       | TypeScript         |         39 |          0 |          6 |         45 |
| c:\Users\ashis\autoform\lib\api.ts                                        | TypeScript         |          9 |          0 |          1 |         10 |
| c:\Users\ashis\autoform\lib\cloudinary.ts                                 | TypeScript         |         22 |          0 |          3 |         25 |
| c:\Users\ashis\autoform\lib\db\db.ts                                      | TypeScript         |          4 |          0 |          2 |          6 |
| c:\Users\ashis\autoform\lib\db\schema.ts                                  | TypeScript         |        119 |          0 |         10 |        129 |
| c:\Users\ashis\autoform\lib\types\Dashboard.types.ts                      | TypeScript         |         12 |          0 |          2 |         14 |
| c:\Users\ashis\autoform\lib\types\persona.types.ts                        | TypeScript         |         36 |          0 |          5 |         41 |
| c:\Users\ashis\autoform\lib\types\simple-resume-parser.d.ts               | TypeScript         |          6 |          0 |          2 |          8 |
| c:\Users\ashis\autoform\lib\types\user.types.ts                           | TypeScript         |         14 |          0 |          2 |         16 |
| c:\Users\ashis\autoform\lib\utils.ts                                      | TypeScript         |         17 |          0 |          3 |         20 |
| c:\Users\ashis\autoform\middleware.ts                                     | TypeScript         |          1 |          0 |          1 |          2 |
| c:\Users\ashis\autoform\next.config.ts                                    | TypeScript         |          4 |          1 |          3 |          8 |
| c:\Users\ashis\autoform\package.json                                      | JSON               |         75 |          0 |          1 |         76 |
| c:\Users\ashis\autoform\pnpm-lock.yaml                                    | YAML               |      6,483 |          0 |      1,677 |      8,160 |
| c:\Users\ashis\autoform\postcss.config.mjs                                | JavaScript         |          4 |          0 |          2 |          6 |
| c:\Users\ashis\autoform\public\file.svg                                   | XML                |          1 |          0 |          0 |          1 |
