"filename", "language", "JSON with Comments", "TypeScript", "XML", "JavaScript", "JSON", "Markdown", "TypeScript JSX", "YAML", "PostCSS", "comment", "blank", "total"
"c:\Users\ashis\autoform\next.config.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 1, 3, 19
"c:\Users\ashis\autoform\package.json", "JSON", 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 1, 77
"c:\Users\ashis\autoform\pnpm-lock.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 6544, 0, 0, 1695, 8239
"c:\Users\ashis\autoform\postcss.config.mjs", "JavaScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\ashis\autoform\public\file.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ashis\autoform\public\globe.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ashis\autoform\public\google.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ashis\autoform\public\next.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ashis\autoform\public\vercel.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ashis\autoform\public\window.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ashis\autoform\store\state.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\ashis\autoform\tsconfig.json", "JSON with Comments", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28
"c:\Users\ashis\autoform\utils\cookies.ts", "TypeScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25
"c:\Users\ashis\autoform\utils\utils.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"Total", "-", 27, 984, 6, 16, 97, 192, 5992, 6544, 193, 554, 2533, 17138
